city,count,MAE
Budapest,2341,26.77996350418345
Brussels,951,26.83392120184833
Ghent,236,29.31114243652861
Berlin,1808,30.323301638122153
Vienna,2099,32.37064670255606
Manchester,1309,32.50860984221167
Lyon,1022,33.14611249800531
Geneva,423,36.08690136391946
Stockholm,636,36.43014526795613
Lisbon,4306,36.67484878463851
Oslo,1750,37.13580548152568
Madrid,3852,37.544298925132395
Sicily,10136,39.896117232404734
Zurich,476,42.91224313238408
Copenhagen,2684,44.86799829471243
Rome,6716,45.49880280134009
London,12305,53.14125977579772
Milan,4084,59.69461521462525
Amsterdam,1187,62.393519992073145
Munich,1086,73.74797012792766
